X1,Y1,W1,H1,X2,Y2,W2,H2
185,25,40,45,265,50,85,50
180,20,40,40,270,50,80,55
180,25,45,45,275,55,80,60
180,25,50,45,275,60,80,65
175,30,55,45,280,65,50,65
165,30,50,40,280,65,50,65
160,35,55,40,280,70,45,65
150,45,50,35,285,70,35,60
145,50,50,30,280,110,30,50
140,55,50,35,265,105,50,25
130,65,45,35,270,100,65,20
130,65,45,40,270,95,75,15
125,70,45,45,265,100,80,15
125,70,50,45,255,100,75,20
115,70,55,40,250,105,80,20
105,70,65,10,245,105,80,20
100,70,70,5,230,105,75,10
90,70,75,10,225,110,75,20
70,70,65,10,210,115,65,25
65,70,65,10,205,120,70,35
55,70,55,10,190,125,65,25
50,70,45,10,180,105,55,40
50,70,40,10,180,95,20,60
50,65,10,25,180,100,10,75
50,65,5,45,180,95,10,80
50,70,5,50,180,90,10,85
50,80,5,50,185,85,10,90
50,90,5,45,180,70,20,80
50,95,5,45,180,65,20,100
50,100,5,35,185,65,20,100
50,105,5,40,175,40,30,75
50,110,5,35,160,45,45,50
50,110,5,15,160,45,55,30
50,170,5,10,165,45,60,50
50,165,20,20,165,50,55,55
50,165,30,25,155,65,45,45
50,165,40,35,160,60,45,50
55,175,50,40,160,65,50,55
65,180,60,45,160,65,50,60
70,185,60,45,150,75,55,50
80,190,65,45,150,75,65,40
85,195,65,45,145,75,70,35
90,200,60,40,140,75,70,30
100,205,60,40,125,85,65,35
105,210,60,40,125,85,65,50
110,215,60,40,115,95,60,55
110,100,60,60,120,220,60,45
95,110,55,45,120,220,60,40
85,120,40,55,125,225,55,40
85,120,25,70,130,230,55,40
85,135,20,80,135,230,60,40
80,155,20,80,135,235,55,40
80,165,30,90,145,240,55,40
80,170,30,90,145,240,60,40
70,185,30,85,150,245,55,40
65,190,25,65,155,245,50,40
60,195,35,60,155,250,55,40
65,210,45,55,160,255,55,40
70,220,55,60,165,255,50,40
75,220,55,55,165,260,95,40
85,225,50,60,170,260,90,40
85,225,40,50,170,260,80,40
95,240,40,50,180,305,75,45
95,240,40,40,170,305,80,40
95,260,50,25,160,290,100,45
105,265,50,30,160,290,100,50
115,265,45,35,145,285,80,65
120,270,50,35,140,295,70,65
130,300,50,45,145,305,65,50
120,325,50,35,155,305,85,50
110,325,50,30,165,305,95,55
100,330,50,20,175,295,90,60
95,330,50,5,180,295,90,55
100,330,60,5,190,295,85,60
100,330,65,15,200,285,75,20
90,310,25,40,210,285,75,15
95,305,10,55,215,285,70,20
95,310,5,70,225,285,70,20
95,310,15,80,230,285,70,20
95,300,15,75,240,280,80,20
95,285,15,65,250,280,80,25
95,280,10,70,255,280,70,20
95,275,15,70,260,280,70,20
90,260,20,65,265,275,75,20
85,250,25,65,275,275,80,20
80,240,20,65,280,275,70,20
80,235,25,65,280,280,60,30
65,220,40,50,300,280,30,50
55,215,50,45,310,260,35,65
50,210,45,40,315,250,40,80
50,200,20,25,320,245,45,65
50,210,15,10,330,230,40,70
325,245,30,50,340,205,35,70
335,230,25,55,345,195,30,70
340,220,25,60,345,200,30,75
340,230,20,50,350,185,30,85
345,220,20,50,355,170,30,85
350,200,25,60,355,175,30,80
350,205,20,50,360,165,35,85
355,185,25,55,365,145,30,75
355,190,25,50,370,135,30,75
360,175,25,50,370,140,30,75
